minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
81,0.8240000152587891,0.25,Álex Grimaldo,LeftFoot,MissedShots,Bayer Leverkusen,FC Heidenheim,Jonas Hofmann,0.02205091528594494
86,0.860999984741211,0.265,Jonas Hofmann,RightFoot,MissedShots,Bayer Leverkusen,FC Heidenheim,Martin Terrier,0.0464053712785244
90,0.8980000305175782,0.585,Alejo Sarco,LeftFoot,MissedShots,Bayer Leverkusen,FC Heidenheim,Jonas Hofmann,0.05067843571305275
8,0.9130000305175782,0.43900001525878907,Jonas Hofmann,RightFoot,Goal,Wolfsburg,Bayer Leverkusen,Malik Tillman,0.4651182293891907
23,0.9059999847412109,0.5570000076293945,Edmond Tapsoba,Head,Goal,Wolfsburg,Bayer Leverkusen,Aleix García,0.2056102603673935
32,0.8240000152587891,0.4759999847412109,Malik Tillman,RightFoot,Goal,Wolfsburg,Bayer Leverkusen,Patrik Schick,0.4120315611362457
55,0.7280000305175781,0.63,Álex Grimaldo,LeftFoot,MissedShots,Wolfsburg,Bayer Leverkusen,Aleix García,0.02358940616250038
59,0.9059999847412109,0.5429999923706055,Ernest Poku,RightFoot,ShotOnPost,Wolfsburg,Bayer Leverkusen,Jonas Hofmann,0.40853479504585266
65,0.749000015258789,0.7090000152587891,Álex Grimaldo,LeftFoot,MissedShots,Wolfsburg,Bayer Leverkusen,,0.044514019042253494
93,0.765,0.5170000076293946,Jarell Quansah,LeftFoot,MissedShots,Wolfsburg,Bayer Leverkusen,,0.027046391740441322
9,0.925,0.6090000152587891,Ernest Poku,RightFoot,MissedShots,Bayer Leverkusen,Borussia Dortmund,Ibrahim Maza,0.3518569767475128
21,0.8590000152587891,0.29100000381469726,Jonas Hofmann,RightFoot,MissedShots,Bayer Leverkusen,Borussia Dortmund,Malik Tillman,0.036598797887563705
37,0.9069999694824219,0.43900001525878907,Edmond Tapsoba,RightFoot,MissedShots,Bayer Leverkusen,Borussia Dortmund,Álex Grimaldo,0.06415682286024094
44,0.7280000305175781,0.6320000076293946,Ernest Poku,RightFoot,SavedShot,Bayer Leverkusen,Borussia Dortmund,Álex Grimaldo,0.016933221369981766
54,0.9540000152587891,0.41700000762939454,Malik Tillman,Head,MissedShots,Bayer Leverkusen,Borussia Dortmund,Aleix García,0.2548992931842804
55,0.7519999694824219,0.659000015258789,Edmond Tapsoba,LeftFoot,BlockedShot,Bayer Leverkusen,Borussia Dortmund,Ibrahim Maza,0.01824980229139328
55,0.785,0.365,Ibrahim Maza,RightFoot,BlockedShot,Bayer Leverkusen,Borussia Dortmund,Aleix García,0.02427419275045395
55,0.9219999694824219,0.5179999923706055,Patrik Schick,Head,SavedShot,Bayer Leverkusen,Borussia Dortmund,Robert Andrich,0.05246802791953087
62,0.9569999694824218,0.705999984741211,Ibrahim Maza,LeftFoot,BlockedShot,Bayer Leverkusen,Borussia Dortmund,Ernest Poku,0.0455012246966362
63,0.8959999847412109,0.5520000076293945,Loic Bade,RightFoot,SavedShot,Bayer Leverkusen,Borussia Dortmund,Álex Grimaldo,0.059166427701711655
68,0.775,0.505,Ernest Poku,RightFoot,BlockedShot,Bayer Leverkusen,Borussia Dortmund,,0.023906806483864784
70,0.8909999847412109,0.4209999847412109,Jonas Hofmann,LeftFoot,ShotOnPost,Bayer Leverkusen,Borussia Dortmund,,0.0704348161816597
72,0.7480000305175781,0.38,Ibrahim Maza,RightFoot,MissedShots,Bayer Leverkusen,Borussia Dortmund,Edmond Tapsoba,0.017149196937680244
82,0.8640000152587891,0.535,Christian Kofane,RightFoot,Goal,Bayer Leverkusen,Borussia Dortmund,Ibrahim Maza,0.0472787544131279
1,0.7380000305175781,0.6129999923706054,Edmond Tapsoba,RightFoot,BlockedShot,Augsburg,Bayer Leverkusen,,0.017003916203975677
1,0.7290000152587891,0.34,Jonas Hofmann,RightFoot,MissedShots,Augsburg,Bayer Leverkusen,Ernest Poku,0.02319452166557312
10,0.7319999694824219,0.6969999694824218,Aleix García,RightFoot,BlockedShot,Augsburg,Bayer Leverkusen,,0.040140993893146515
10,0.7290000152587891,0.509000015258789,Ernest Poku,RightFoot,SavedShot,Augsburg,Bayer Leverkusen,,0.013293935917317867
10,0.9369999694824219,0.49900001525878906,Loic Bade,Head,BlockedShot,Augsburg,Bayer Leverkusen,Aleix García,0.07197558134794235
15,0.754000015258789,0.345,Robert Andrich,RightFoot,BlockedShot,Augsburg,Bayer Leverkusen,,0.016035737469792366
40,0.9540000152587891,0.67,Ernest Poku,LeftFoot,MissedShots,Augsburg,Bayer Leverkusen,Martin Terrier,0.03717169538140297
42,0.9280000305175782,0.48,Patrik Schick,Head,ShotOnPost,Augsburg,Bayer Leverkusen,Aleix García,0.18476326763629913
43,0.919000015258789,0.3390000152587891,Edmond Tapsoba,RightFoot,SavedShot,Augsburg,Bayer Leverkusen,Malik Tillman,0.08182566612958908
43,0.884000015258789,0.30100000381469727,Malik Tillman,RightFoot,BlockedShot,Augsburg,Bayer Leverkusen,,0.028702298179268837
48,0.9459999847412109,0.46,Patrik Schick,Head,MissedShots,Augsburg,Bayer Leverkusen,Aleix García,0.07110834866762161
51,0.8969999694824219,0.42900001525878906,Patrik Schick,LeftFoot,MissedShots,Augsburg,Bayer Leverkusen,Malik Tillman,0.32136762142181396
53,0.9009999847412109,0.6090000152587891,Ernest Poku,RightFoot,MissedShots,Augsburg,Bayer Leverkusen,,0.06613167375326157
64,0.8180000305175781,0.7580000305175781,Ben Seghir,RightFoot,ShotOnPost,Augsburg,Bayer Leverkusen,Aleix García,0.012378287501633167
67,0.8040000152587891,0.4759999847412109,Malik Tillman,RightFoot,BlockedShot,Augsburg,Bayer Leverkusen,Ernest Poku,0.0526074543595314
74,0.95,0.5979999923706054,Patrik Schick,LeftFoot,BlockedShot,Augsburg,Bayer Leverkusen,Nathan Tella,0.119814433157444
74,0.8819999694824219,0.5929999923706055,Malik Tillman,RightFoot,BlockedShot,Augsburg,Bayer Leverkusen,,0.06347078830003738
78,0.9630000305175781,0.4109999847412109,Patrik Schick,RightFoot,MissedShots,Augsburg,Bayer Leverkusen,Aleix García,0.07853323221206665
85,0.899000015258789,0.435,Claudio Echeverri,RightFoot,BlockedShot,Augsburg,Bayer Leverkusen,Aleix García,0.11350106447935104
91,0.7519999694824219,0.835999984741211,Ben Seghir,RightFoot,BlockedShot,Augsburg,Bayer Leverkusen,Aleix García,0.008750304579734802
8,0.9180000305175782,0.6140000152587891,Christian Kofane,LeftFoot,SavedShot,Bayer Leverkusen,FC Cologne,Malik Tillman,0.36640241742134094
17,0.785,0.5790000152587891,Malik Tillman,RightFoot,MissedShots,Bayer Leverkusen,FC Cologne,Ernest Poku,0.03410744667053223
25,0.9530000305175781,0.41700000762939454,Christian Kofane,RightFoot,MissedShots,Bayer Leverkusen,FC Cologne,Jonas Hofmann,0.13664205372333527
